city,lat,long,ags,population,date,cases,tot,Verdopplungstage,gesund,pro100000,01.03.2020,02.03.2020,03.03.2020,04.03.2020,05.03.2020,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,"01.04.2020",
Aachen & Region,50.749709,6.213554,05334,555465,"""01.04.2020"," 16 Uhr""", 980, 16, 11,, 176, 14, 10, 10, 13, 33, 41, 51, 57, 58, 61, 63, 63, 85, 85, 140, 169, 211, 273, 343, 361, 436, 501, 530, 540, 540, 618, 649, 746,787, 824, 920," 980"
Bielefeld,52.018202,8.577806,05711,333786,"""01.04.2020"," 16 Uhr""", 177,, 10,, 53,,,,,,,, 2, 2, 2, 5, 9, 17, 17, 17, 27, 28, 49, 49, 66, 66, 81, 98, 104, 120, 132, 142, 142,146, 169, 169," 177"
Bochum,51.474951,7.213937,05911,364628,"""01.04.2020"," 16 Uhr""", 275, 7, 10,, 75,,,,, 1, 2, 2, 3, 4, 4, 5, 8, 18, 18, 20, 26, 26, 30, 39, 77, 77, 99, 141, 143, 173, 186, 219, 219,219, 245, 269," 275"
Bonn,50.724104,7.114887,05314,327258,"""01.04.2020"," 16 Uhr""", 294, 1, 10,, 90, 1, 1, 1, 1, 1, 1, 2, 4, 5, 6, 13, 17, 23, 28, 36, 41, 64, 69, 76, 92, 119, 132, 157, 164, 180, 212, 225, 241,259, 268, 272," 294"
Kreis Borken,51.9419987,6.9812473,05554,370676,"""01.04.2020"," 16 Uhr""", 497, 7, 12, 1, 134,,,,,,,,,, 1, 1, 3, 19, 27, 45, 82, 104, 131, 187, 226, 252, 274, 282, 300, 323, 353, 382, 399,424, 443, 455," 497"
Bottrop,51.52873,6.943227,05512,117383,"""01.04.2020"," 16 Uhr""", 44, 1, 8,, 37,,,,, 1, 5, 5, 5, 5, 6, 7, 14, 3, 3, 3, 4, 7, 9, 10, 16, 16, 16, 17, 18, 23, 23, 25, 32,37, 38, 43," 44"
Kreis Coesfeld,51.941946,7.166349,05558,219929,"""01.04.2020"," 16 Uhr""", 339, 6, 10,, 154,,,,, 13, 13, 16, 18, 21, 21, 22, 28, 33, 39, 47, 50, 53, 70, 93, 116, 129, 152, 152, 172, 184, 216, 245, 274,303, 304, 313," 339"
Dortmund,51.5135872,7.4652981,05913,587010,"""01.04.2020"," 16 Uhr""", 304,, 12,, 52,,,,, 2, 2, 2, 4, 4, 5, 12, 12, 14, 14, 19, 33, 49, 65, 76, 140, 140, 140, 160, 174, 183, 214, 238, 238,256, 256, 275," 304"
Duisburg,51.47994,6.75966,05112,498590,"""01.04.2020"," 16 Uhr""", 330, 2, 8,, 66,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 7, 9, 10, 14, 14, 30, 46, 52, 63, 81, 89, 89, 133, 160, 174, 200, 245, 234,276, 286, 312," 330"
Kreis DÃ¼ren,50.801834,6.48195,05358,263722,"""01.04.2020"," 16 Uhr""", 272, 4, 10,, 103, 1, 1, 1, 2, 4, 4, 4, 4, 5, 6, 7, 9, 15, 18, 24, 39, 47, 57, 80, 107, 118, 130, 142, 151, 166, 189, 192, 217,232, 246, 252," 272"
